# Group	Title
Новостные	Дождь
Новостные	BBC World News
Новостные	Bloomberg
Новостные	France 24
Новостные	РБК
Новостные	Россия 24
Познавательные	24 Док
Познавательные	24 Техно
Познавательные	Animal Planet
Познавательные	Discovery Channel
Познавательные	Discovery Science
Познавательные	Discovery World
Познавательные	English Club TV
Познавательные	History Channel
Познавательные	Nat Geo Wild
Познавательные	National Geographic
Фильмы	Дом кино
Фильмы	ТВ 3
Фильмы	Amedia 1
Фильмы	Fox
Фильмы	TV 1000
Фильмы	TV 1000 Action East
Фильмы	TV 1000 Русское кино
Фильмы	Еврокино
Фильмы	Иллюзион+
Фильмы	Наше любимое кино
Фильмы	НТВ+ Киноклуб
Фильмы	НТВ+ Кинолюкс
Фильмы	НТВ+ Кинохит
Фильмы	НТВ+ Наше кино
Фильмы	НТВ+ Премьера
Развлекательные	2x2
Развлекательные	Cartoon Network
Развлекательные	Nickelodeon
Развлекательные	Nickelodeon HD
Развлекательные	СТС
Развлекательные	ТНТ
Общие	Домашний
Общие	Звезда
Общие	НТВ
Общие	Первый канал
Общие	Первый канал HD
Общие	Пятый канал
Общие	РЕН ТВ
Общие	РЕН ТВ Петербург
Общие	Россия 1
Общие	ТВЦ
Региональные	100 ТВ
Музыка	A-One
Музыка	MTV Россия
Музыка	VH1
Музыка	VH1 Classic
Спорт	Eurosport
Спорт	Eurosport 2
Спорт	Eurosport 2 International
Спорт	Eurosport HD
Спорт	Eurosport International
Спорт	Россия 2
Спорт	Спорт
Спорт	Спорт 1
Спорт	Спорт 1 HD
